,Users_ID,Clusters
241,12018,10
242,12027,2
243,12058,10
244,12065,10
245,12081,6
246,12102,7
247,12103,7
248,12128,10
249,12133,3
250,12135,9
251,12154,8
252,12171,4
253,12183,10
254,12185,6
255,12192,4
256,12217,8
257,12229,3
258,12230,4
259,12234,8
260,12260,3
261,12318,4
262,12368,7
263,12376,4
264,12377,10
265,12398,8
266,12414,6
267,12423,4
268,12441,7
269,12451,3
270,12453,8
271,12461,10
272,12466,8
273,12468,6
274,12471,3
275,12472,7
276,12473,9
277,12492,9
278,12494,3
279,12500,8
280,12503,5
281,12506,6
282,12507,1
283,12512,5
284,12516,7
285,12526,1
286,12532,5
287,12537,3
288,12544,10
289,12545,8
290,12546,1
291,12548,3
292,12551,6
293,12570,2
294,12575,3
295,12593,4
296,12605,7
297,12632,10
298,12657,10
299,12668,1
300,12672,7
301,12680,10
302,12681,8
303,12702,7
304,12735,10
305,12737,2
306,12747,6
307,12756,3
308,12758,8
309,12762,8
310,12795,2
311,12809,3
312,12817,2
313,12825,10
314,12836,9
315,12856,7
316,12863,10
317,12872,2
318,12898,3
319,12910,3
320,12931,10
321,12943,7
322,13000,6
323,13003,8
324,13007,3
325,13021,7
326,13024,3
327,13035,10
328,13048,10
329,13051,10
330,13054,3
331,13071,3
332,13073,6
333,13081,2
334,13097,3
335,13104,10
336,13123,1
337,13127,4
338,13143,9
339,13144,3
340,13172,7
341,13184,4
342,13185,7
343,13190,1
344,13191,4
345,13199,3
346,13215,8
347,13226,1
348,13253,2
349,13258,6
350,13274,4
351,13318,4
352,13336,2
353,13346,7
354,13362,3
355,13371,6
356,13395,7
357,13397,10
358,13399,3
359,13423,3
360,13427,10
361,13430,5
362,13453,10
363,13459,2
364,13483,4
365,13491,7
366,13533,2
367,13558,3
368,13561,4
369,13562,1
370,13575,3
371,13593,10
372,13619,8
373,13620,9
374,13622,2
375,13623,2
376,13624,8
377,13625,3
378,13640,10
379,13662,6
380,13674,7
381,13689,8
382,13695,10
383,13697,10
384,13698,2
385,13699,6
386,13729,10
387,13745,2
388,13749,2
389,13752,1
390,13761,2
391,13783,4
392,13799,10
393,13811,5
394,13823,10
395,13825,4
396,13831,3
397,13841,6
398,13854,1
399,13856,4
400,13858,7
401,13870,4
402,13877,8
403,13882,1
404,13883,10
405,13900,4
406,13913,4
407,13918,4
408,13959,5
409,13961,4
410,13965,3
411,14004,7
412,14016,10
413,14024,1
414,14028,1
415,14030,10
416,14032,1
417,14049,7
418,14085,8
419,14092,10
420,14093,7
421,14095,1
422,14096,7
423,14098,7
424,14099,10
425,14122,4
426,14132,6
427,14139,9
428,14157,9
429,14158,10
430,14160,3
431,14165,3
432,14169,1
433,14185,1
434,14197,2
435,14202,8
436,14204,6
437,14207,10
438,14209,5
439,14229,7
440,14234,4
441,14237,8
442,14238,4
443,14239,3
444,14240,3
445,14245,8
446,14253,9
447,14270,8
448,14293,10
449,14305,8
450,14318,5
451,14333,2
452,14336,10
453,14342,3
454,14343,7
455,14344,6
456,14366,4
457,14369,7
458,14379,5
459,14381,4
460,14401,1
461,14403,6
462,14407,5
463,14408,3
464,14410,10
465,14419,10
466,14435,7
467,14437,3
468,14451,1
469,14468,9
470,14472,1
471,14473,5
472,14474,1
473,14475,7
474,14483,5
475,14486,3
476,14498,7
477,14522,4
478,14524,6
479,14534,6
480,14536,9
481,14537,6
482,14557,3
483,14559,10
484,14563,10
485,14566,7
486,14592,3
487,14594,6
